# Nb heterogeneous reactions
38 
# species	Tc (K)		Vc (cm3/mol)
HONOad		0.0		0.0
HONOad		0.0		0.0
NO		180.00		58
OLT		364.90		185
OLI		464.80		298
TOL		822.28          490
XYL		617.00		375
HCHO		436.48		100
ALD		504.40		204
KET		561.08		320
ISO		480.20		280
CSL		695.15		290
ORA1		588.00		130
ORA2		590.84		171
MACR		516.54		260
MOH		512.50		117
ACD		466.00		154
ACT		508.10		213
BEN		562.05		256
PHEN		694.30		230
BALD		695.00		340
ROH		563.00		274
UALD		548.86		310
LIM		657.16		500
NO		180.00		58
NO2		561.53		110
NO2		561.53		110
HONO		561.53		110
O3		261.10		88.9
HO		647.10		55.9
HO2		728.00		70
H2O2		728.00		70	
HNO3		648.46		140
HNO4		669.82		154
NO3		534.15		140
HONOad		0.0		0.0
NOad		0.0		0.0
NO2ad		0.0		0.0
